word,corpus,experiment,bias,external_score,bias_pmi,lor_se,dpmi_lower,dpmi_upper,lor_pvalue,lor_pvaluecor,bias_sgns,se_sgns,lower_sgns,upper_sgns,sgns_pvalue,sgns_pvaluecor,bias_glovewc,se_glovewc,lower_glovewc,upper_glovewc,glovewc_pvalue,glovewc_pvaluecor
abattoir,subs,glasgow-gender,gender,2.609,0.0381662645926397,0.2205708939799155,-0.3941447436457973,0.4704772728310767,0.8626246669931316,0.8779844496227852,0.1720152844864885,0.5185220535753867,-0.8296046922749419,1.1446900547896768,0.7484266956724419,0.9556024525853722,0.5443156654965534,0.47133166137219,-0.4577904175362673,1.382830053317559,0.3024629010954859,0.7283956984292408
abbey,subs,glasgow-gender,gender,4.697,0.3718916995087954,0.0535568919144739,0.2669221202325221,0.4768612787850687,3.814454780626672e-12,8.46883859429456e-12,0.1939075577583852,0.5085872556316678,-0.801921176225354,1.155467880106466,0.714163623650066,0.9473639800877552,1.134193253614109,0.3355040616267998,0.4148145735658658,1.7152617756960622,0.0208996969932406,0.2894083907990017
abbreviate,subs,glasgow-gender,gender,4.029,-0.2012378075933503,0.591607988563387,-1.3607681581437732,0.9582925429570726,0.7337405688270413,0.7604831866782232,-0.3981869959803146,0.500160771375091,-1.3465133573013333,0.6204760186328359,0.4604148861782301,0.8772358252599457,1.1324847221342136,0.2704343667128823,0.5561030236489121,1.606540216075245,0.0176365472768238,0.2678095119422882
abdicate,subs,glasgow-gender,gender,2.833,-0.9770767039984086,0.142884549958955,-1.2571252758651743,-0.6970281321316427,8.017732421666715e-12,1.765648563435902e-11,0.0667664709880725,0.5186675275368786,-0.9541305468143184,1.076992642842288,0.8791080724108461,0.9777246454049432,-0.3111598900717879,0.4974647638979149,-1.2298922221822928,0.6920088267103532,0.5631264082044907,0.8595253436850859
abdication,subs,glasgow-gender,gender,3.4290000000000003,-0.068478317747409,0.1984255985788948,-0.4573853445728451,0.3204287090780269,0.7300128852394728,0.756867414474895,0.0750448058766318,0.5383178050991343,-0.8636525873305354,1.211878069333853,0.889674461968767,0.9800672222353588,0.5177642339518643,0.4524144631607384,-0.4371877798911821,1.300795321360859,0.3228187398026571,0.7416847840053067
abdomen,subs,glasgow-gender,gender,3.4000000000000004,0.2724665924634661,0.03800646470465,0.1979752904626592,0.346957894464273,7.554093364405787e-13,1.7197693857892173e-12,0.0163685287628905,0.538812600892215,-0.9033173155359142,1.1333436805473156,0.9780125864346204,0.9962755882119289,0.4027109362582504,0.508285413627675,-0.5718294217906174,1.3867561068680312,0.438893636858053,0.8015582309675557
abdominal,subs,glasgow-gender,gender,3.758,0.1036608668216623,0.0610416829614731,-0.0159786333385372,0.2233003669818619,0.0894693624072462,0.108473321948433,0.1293012429647256,0.5312467097482565,-0.80551939287383,1.2586320234753543,0.8168751456763266,0.9667852070313864,0.290894318144835,0.5257210381499604,-0.6601299881370833,1.3660805799465223,0.58829927744542,0.869897057872492
abduct,subs,glasgow-gender,gender,3.0,0.3907931456890962,0.0474592589353066,0.2977747074429344,0.4838115839352579,1.80566524948311e-16,4.590526911025316e-16,0.2885828866902726,0.5266873774963886,-0.7218848482344015,1.276429550594762,0.5958355994095252,0.9220022621531444,0.985540775506375,0.3647052655860753,0.1954496379653258,1.603339640499741,0.0550850749747494,0.410029813565964
abducted,subs,glasgow-gender,gender,3.454,0.6535689219970369,0.0213876209248202,0.6116499552693939,0.6954878887246798,4.286513251800511e-205,5.9090425058927796e-204,0.739668148992252,0.4356227785059395,-0.1725795575974197,1.4746590756601026,0.1597389480226866,0.7050188328622109,1.018588115910294,0.3721536752525177,0.1885080039319531,1.653598959917438,0.0412555357004117,0.3679296507817005
abduction,subs,glasgow-gender,gender,3.314,0.2330436543416175,0.0433942824224411,0.1479924236586732,0.3180948850245617,7.8557622304853e-08,1.4505060199290314e-07,0.7435250149225247,0.437907275896589,-0.237564031696668,1.4590351629769918,0.1574081267966747,0.7009200132746443,0.9015410257911668,0.378914156365615,0.0614187058631818,1.5229737712056892,0.0806464144200139,0.4719529538886585
aberration,subs,glasgow-gender,gender,3.68,0.9555212592523206,0.1316903101308665,0.6974129942829119,1.2136295242217292,3.9921936467968324e-13,9.17219527268416e-13,1.0395327139441355,0.3659256894339199,0.2482921079312843,1.6638707854715278,0.0406339833734752,0.4611010443025902,1.1229524347416813,0.3789778770128497,0.2901874586598002,1.7391757024754522,0.0274259964260741,0.3227907237358761
abide,subs,glasgow-gender,gender,3.853,-0.4160297494180888,0.0660704539969203,-0.5455254596942631,-0.2865340391419144,3.0389477926270767e-10,6.299416441373194e-10,-0.1422946028290229,0.5167955522728495,-1.16138261235873,0.8465395919026178,0.7892937611685183,0.9638663865957732,-0.2328494731120735,0.4979655772578568,-1.153727222932481,0.7706403500007889,0.6621863103099992,0.8968266897653462
ability,subs,glasgow-gender,gender,3.794,-0.3626368603364134,0.0198176744968418,-0.4014787886075615,-0.3237949320652653,8.386206763644559e-75,5.0733880153564345e-74,0.0942792658555619,0.5160636044162873,-0.9130826529432956,1.100704097190289,0.857664517131536,0.9732581317495198,-0.3847150777176566,0.4900158985898682,-1.2759995602740053,0.6101641726951379,0.4718359101856887,0.8179115765269079
